,0
116,GOBP_RESPONSE_TO_INSULIN
117,GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS
118,GOBP_COLLAGEN_METABOLIC_PROCESS
119,GOBP_MUSCLE_CELL_PROLIFERATION
120,GOBP_RESPONSE_TO_VITAMIN
121,GOBP_CARBOHYDRATE_HOMEOSTASIS
122,GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY
123,GOBP_RESPONSE_TO_MONOSACCHARIDE
124,GOBP_RESPONSE_TO_INTERFERON_GAMMA
125,GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS
126,GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS
127,GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT
128,GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS
129,GOBP_CARDIOCYTE_DIFFERENTIATION
130,GOBP_REGULATION_OF_TUBE_SIZE
131,GOBP_ORGAN_GROWTH
132,GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT
133,GOBP_MULTICELLULAR_ORGANISMAL_SIGNALING
134,GOBP_GLIOGENESIS
135,GOBP_T_CELL_PROLIFERATION
136,GOBP_CELLULAR_KETONE_METABOLIC_PROCESS
137,GOBP_HORMONE_METABOLIC_PROCESS
138,GOBP_REGULATION_OF_PROTEIN_BINDING
139,GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY
140,GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE
141,GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY
142,GOBP_PROTEIN_KINASE_B_SIGNALING
143,GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION
144,GOBP_ENDOTHELIAL_CELL_MIGRATION
145,GOBP_EAR_DEVELOPMENT
146,GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION
147,GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS
148,GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS
149,GOBP_ENTRY_INTO_HOST
150,GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS
151,GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION
152,GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS
153,GOBP_CELL_FATE_COMMITMENT
154,GOBP_CELL_CELL_JUNCTION_ORGANIZATION
155,GOBP_FAT_CELL_DIFFERENTIATION
156,GOBP_REGULATION_OF_T_CELL_DIFFERENTIATION
157,GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION
158,GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION
159,GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION
160,GOBP_REGULATION_OF_NEURON_DIFFERENTIATION
161,GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION
162,GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS
163,GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS
164,GOBP_NEGATIVE_REGULATION_OF_GROWTH
165,GOBP_POSITIVE_REGULATION_OF_GROWTH
166,GOBP_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION
167,GOBP_ALPHA_BETA_T_CELL_ACTIVATION
168,GOBP_PROTEIN_AUTOPHOSPHORYLATION
169,GOBP_REGULATION_OF_HORMONE_SECRETION
170,GOBP_POSITIVE_REGULATION_OF_HORMONE_SECRETION
171,GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS
172,GOBP_CARBOXYLIC_ACID_TRANSPORT
173,GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING
174,GOBP_CELL_MATURATION
175,GOBP_RHYTHMIC_PROCESS
176,GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS
177,GOBP_DEVELOPMENTAL_CELL_GROWTH
178,GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH
179,GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION
180,GOBP_SKELETAL_SYSTEM_MORPHOGENESIS
181,GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT
182,GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE
183,GOBP_MESENCHYMAL_CELL_DIFFERENTIATION
184,GOBP_TISSUE_REMODELING
185,GOBP_STEM_CELL_DIFFERENTIATION
186,GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS
187,GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION
188,GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION
189,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE
190,GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE
191,GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION
192,GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION
193,GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS
194,GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
195,GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY
196,GOBP_REGULATION_OF_B_CELL_ACTIVATION
197,GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION
198,GOBP_COGNITION
199,GOBP_REGULATION_OF_CHEMOTAXIS
200,GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS
201,GOBP_POSITIVE_REGULATION_OF_SECRETION
202,GOBP_NEGATIVE_REGULATION_OF_SECRETION
203,GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY
204,GOBP_POSITIVE_REGULATION_OF_BINDING
205,GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION
206,GOBP_CARTILAGE_DEVELOPMENT
207,GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION
208,GOBP_PROTEIN_POLYMERIZATION
209,GOBP_REGULATION_OF_CELL_DIVISION
210,GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY
211,GOBP_NEURON_APOPTOTIC_PROCESS
212,GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION
213,GOBP_RESPONSE_TO_CALCIUM_ION
214,GOBP_PROTEIN_MATURATION
215,GOBP_DEFENSE_RESPONSE_TO_VIRUS
216,GOBP_MAINTENANCE_OF_LOCATION_IN_CELL
217,GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST
218,GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING
219,GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT
220,GOBP_MOVEMENT_IN_HOST_ENVIRONMENT
221,GOBP_MUSCLE_CELL_DEVELOPMENT
222,GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT
223,GOBP_BONE_DEVELOPMENT
224,GOBP_MESENCHYME_DEVELOPMENT
225,GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT
226,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS
227,GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS
228,GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT
229,GOBP_REGULATION_OF_WOUND_HEALING
230,GOBP_CONNECTIVE_TISSUE_DEVELOPMENT
231,GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION
232,GOBP_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE
233,GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE
234,GOBP_RESPONSE_TO_INTERLEUKIN_1
235,GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION
236,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION
237,GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS
238,GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN
239,GOBP_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE
240,GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS
241,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS
242,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
243,GOBP_GRANULOCYTE_CHEMOTAXIS
244,GOBP_MONONUCLEAR_CELL_MIGRATION
245,GOBP_ANATOMICAL_STRUCTURE_MATURATION
246,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
247,GOBP_RESPONSE_TO_BMP
248,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY
249,GOBP_NEPHRON_DEVELOPMENT
250,GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT
251,GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS
252,GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS
253,GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE
254,GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY
255,GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY
256,GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS
257,GOBP_REGULATION_OF_PEPTIDE_HORMONE_SECRETION
258,GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS
259,GOBP_SENSORY_ORGAN_MORPHOGENESIS
260,GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
261,GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
262,GOBP_RESPONSE_TO_ALCOHOL
263,GOBP_NEURON_PROJECTION_GUIDANCE
264,GOBP_MYELOID_LEUKOCYTE_MIGRATION
265,GOBP_GRANULOCYTE_MIGRATION
266,GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT
267,GOBP_IMPORT_INTO_CELL
268,GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE
269,GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES
270,GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION
271,GOBP_BIOMINERALIZATION
272,GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS
273,GOBP_MITOTIC_NUCLEAR_DIVISION
274,GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS
275,GOBP_NEGATIVE_REGULATION_OF_NEURON_DEATH
276,GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS
277,GOBP_RESPONSE_TO_KETONE
278,GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY
279,GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION
280,GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION
281,GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING
282,GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING
283,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION
284,GOBP_REGULATION_OF_BLOOD_CIRCULATION
285,GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS
286,GOBP_NEGATIVE_REGULATION_OF_ANION_TRANSPORT
287,GOBP_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION
288,GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
289,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT
290,GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS
291,GOBP_REGULATION_OF_LIPID_LOCALIZATION
292,GOBP_NEUTROPHIL_MIGRATION
293,GOBP_ADAPTIVE_THERMOGENESIS
294,GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS
295,GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
296,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS
297,GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY
298,GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
299,node 0
